category,filename,hashtag,source,description,people,faces,females,alcohol_visible,words_on_image,proportion_females,labels
pro_prof,pp13.png,#Bacardi,https://www.instagram.com/p/B7_LFaflp9e/,Two women and three men are sitting on a couch. Two of them are holding cocktails. The two women are in focus and are laughing and smiling happily.,5,2,2.0,1,0,0.4,Bacardi
pro_prof,pp14.png,#Bacardi,https://www.instagram.com/p/B63KVk1lb25/,Two cocktails with Bacardi branded straws and a large bottle of Bacardi are standing on a table. ,0,0,0.0,1,0,NA,Bacardi
pro_prof,pp15.png,#Bacardi,https://www.instagram.com/p/B5coNTJlHWz/,"Several people are dancing with one dancing, happy looking woman being depicted in the centre of the image. A man is holding two mixed alcoholic drinks",5,2,4.0,1,0,0.8,Bacardi
pro_prof,pp16.png,#Bacardi,https://www.instagram.com/p/B4CsfxOFZvF/,A close-up of a women’s lower body is shown. She is holding a large bottle of Bacardi.,1,0,1.0,1,0,1.0,Bacardi
pro_prof,pp17.png,#Bacardi,https://www.instagram.com/p/ByF7Ydcg_I0/,"Several people re standing outside with one woman dancing, smiling, and holding a mixed, Bacardi branded drink in her hand",7,3,4.0,1,0,0.571428571,Bacardi
pro_prof,pp18.png,#Smirnoff,https://www.instagram.com/p/BlvfYWaA1DT/,"A creative display of four taps is shown. The taps are attached to fruits (a watermelon, a pineapple, a coconut and a lemon) and a bottle of fruit flavoured Smirnoff is placed upside down into each fruit.",0,0,0.0,1,0,NA,Smirnoff
pro_prof,pp20.png,#Smirnoff,https://www.instagram.com/p/BPxo2hsh4jN/,"Three women are shown smiling and looking happy. One is holding a bottle and one a glass of Smirnoff branded drinks. One is putting on make-up, another holding a phone.",3,3,3.0,1,0,1.0,Smirnoff
pro_prof,pp22.png,#JackDaniels,https://www.instagram.com/p/B1g7gJ3HOVt/,A bottle of Jack Daniel’s stands next to a bottle of Coca Cola and a mixed drink with a straw. Text on the image reads: “Jack & Coke Frozen”,0,0,0.0,1,0,NA,Jack Daniels
pro_prof,pp23.png,#JackDaniels,https://www.instagram.com/p/Bv4RiNVHhZ3/,A small bottle of Jack Daniel’s is being held up into the middle of the image in front of a busy city scene during the day.,17,2,6.0,1,0,0.352941176,Jack Daniels
pro_prof,pp24.png,#Patron,https://www.instagram.com/p/B452A83n9o1/,"A large group of people is sitting around a table, toasting one another enthusiastically with Patron branded glasses",11,7,6.0,1,0,0.545454545,Patron
pro_prof,pp25.png,#JoseCuervoTequila,https://www.instagram.com/p/B6T9qSdIdvn/,A woman hugs a smiling man who is holding a large bottle of Jose Cuervo Tequila,2,1,1.0,1,0,0.5,Jose Cuervo Tequila
